#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.95 aq:13.21 tex:680384 mv:99712 misc:6240 imb:3600 pmb:0 smb:0 d:- ref:;
in:48 out:48 type:B dur:2 cpbdur:2 q:16.95 aq:13.88 tex:31318 mv:10622 misc:3460 imb:14 pmb:1511 smb:2075 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:17.03 aq:13.19 tex:3804 mv:2527 misc:3197 imb:3 pmb:1022 smb:2575 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:16.87 aq:15.83 tex:13065 mv:6662 misc:2969 imb:4 pmb:1070 smb:2526 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:17.05 aq:8.16 tex:336702 mv:16784 misc:2682 imb:213 pmb:2621 smb:766 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:16.92 aq:12.56 tex:48253 mv:12040 misc:3459 imb:10 pmb:1707 smb:1883 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:16.86 aq:14.32 tex:3407 mv:1934 misc:2883 imb:2 pmb:840 smb:2758 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:16.98 aq:16.17 tex:17226 mv:7225 misc:2997 imb:4 pmb:1095 smb:2501 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:16.74 aq:7.54 tex:352788 mv:15717 misc:2431 imb:272 pmb:2677 smb:651 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:16.89 aq:15.19 tex:16711 mv:7730 misc:3111 imb:7 pmb:1137 smb:2456 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:16.48 aq:7.42 tex:386045 mv:17723 misc:2344 imb:262 pmb:2748 smb:590 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:16.61 aq:13.02 tex:33600 mv:11517 misc:3507 imb:17 pmb:1620 smb:1963 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:16.68 aq:13.28 tex:4064 mv:2832 misc:3248 imb:3 pmb:1080 smb:2517 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:16.54 aq:15.40 tex:14713 mv:7335 misc:3080 imb:5 pmb:1156 smb:2439 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:16.67 aq:8.10 tex:309762 mv:16353 misc:2813 imb:247 pmb:2527 smb:826 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:16.58 aq:12.19 tex:51892 mv:12067 misc:3409 imb:20 pmb:1723 smb:1857 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:16.53 aq:14.72 tex:3835 mv:2156 misc:2913 imb:1 pmb:856 smb:2743 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:16.62 aq:15.44 tex:18491 mv:7312 misc:3013 imb:7 pmb:1103 smb:2490 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:16.37 aq:7.66 tex:324297 mv:15623 misc:2640 imb:238 pmb:2619 smb:743 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:16.52 aq:14.67 tex:18502 mv:7960 misc:3138 imb:10 pmb:1147 smb:2443 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:16.14 aq:8.09 tex:298593 mv:16378 misc:2749 imb:241 pmb:2539 smb:820 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:16.25 aq:12.66 tex:39954 mv:12073 misc:3501 imb:12 pmb:1692 smb:1896 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:16.31 aq:13.23 tex:5307 mv:3124 misc:3225 imb:2 pmb:1129 smb:2469 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:16.20 aq:15.69 tex:15780 mv:7494 misc:3094 imb:2 pmb:1169 smb:2429 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:16.15 aq:9.26 tex:211763 mv:14782 misc:3255 imb:214 pmb:2235 smb:1151 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:16.15 aq:11.47 tex:70722 mv:13662 misc:3392 imb:20 pmb:1943 smb:1637 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:16.14 aq:12.78 tex:4451 mv:2290 misc:2939 imb:8 pmb:873 smb:2719 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:16.15 aq:14.55 tex:22753 mv:8253 misc:3170 imb:7 pmb:1228 smb:2365 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:15.78 aq:9.73 tex:396538 mv:22500 misc:1346 imb:839 pmb:2572 smb:189 d:- ref:0 w:7,121,2,7,120,8,119,8 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:15.97 aq:14.10 tex:41726 mv:12476 misc:3550 imb:29 pmb:2034 smb:1537 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:15.62 aq:9.64 tex:342359 mv:15973 misc:1532 imb:690 pmb:2652 smb:258 d:- ref:0 w:6,61,2,7,121,7,120,8 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:15.92 aq:10.15 tex:572870 mv:26994 misc:856 imb:1010 pmb:2525 smb:65 d:- ref:0 w:7,117,4,7,112,17,111,16 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:15.77 aq:12.46 tex:43161 mv:10289 misc:3350 imb:36 pmb:1420 smb:2144 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:16.31 aq:10.32 tex:647113 mv:28589 misc:722 imb:990 pmb:2576 smb:34 d:- ref:0 w:6,59,2,7,112,16,113,14 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:16.11 aq:13.19 tex:40691 mv:10063 misc:3246 imb:30 pmb:1233 smb:2337 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:16.86 aq:11.37 tex:250223 mv:13738 misc:2727 imb:290 pmb:2441 smb:869 d:- ref:0 w:7,125,1,7,122,6,121,7 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:17.18 aq:11.47 tex:398478 mv:25297 misc:1737 imb:571 pmb:2732 smb:297 d:- ref:0 w:7,125,1,7,122,6,121,7 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:17.18 aq:11.48 tex:407915 mv:24537 misc:1764 imb:492 pmb:2752 smb:356 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:17.41 aq:9.71 tex:803889 mv:33237 misc:426 imb:2430 pmb:1168 smb:2 d:- ref:0 w:5,35,-3,6,57,13,57,15 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:17.30 aq:11.86 tex:117998 mv:17653 misc:3373 imb:91 pmb:1853 smb:1656 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:17.24 aq:13.71 tex:39342 mv:11505 misc:3313 imb:25 pmb:1295 smb:2280 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:17.35 aq:12.27 tex:23206 mv:8800 misc:3106 imb:50 pmb:1016 smb:2534 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:18.55 aq:7.77 tex:485161 mv:32457 misc:686 imb:1729 pmb:1846 smb:25 d:- ref:0 w:5,35,-3,6,74,-21,71,-12 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:17.98 aq:12.44 tex:36486 mv:13681 misc:3425 imb:63 pmb:1521 smb:2016 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:18.43 aq:8.55 tex:258152 mv:22244 misc:2724 imb:400 pmb:2217 smb:983 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:18.49 aq:12.87 tex:38525 mv:14526 misc:3165 imb:28 pmb:1478 smb:2094 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:18.52 aq:13.80 tex:3801 mv:2624 misc:2607 imb:4 pmb:704 smb:2892 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:18.46 aq:15.25 tex:17714 mv:10429 misc:2865 imb:13 pmb:1035 smb:2552 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:18.58 aq:8.10 tex:246866 mv:20323 misc:2827 imb:323 pmb:2162 smb:1115 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:18.50 aq:14.30 tex:15522 mv:9749 misc:3025 imb:18 pmb:1073 smb:2509 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:18.37 aq:8.20 tex:265001 mv:22213 misc:2690 imb:408 pmb:2178 smb:1014 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:18.47 aq:12.93 tex:29823 mv:13701 misc:3372 imb:35 pmb:1428 smb:2137 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:18.53 aq:13.95 tex:3252 mv:2270 misc:2438 imb:1 pmb:668 smb:2931 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:18.42 aq:14.30 tex:15716 mv:10217 misc:2979 imb:15 pmb:1055 smb:2530 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:18.34 aq:8.45 tex:269160 mv:22274 misc:2582 imb:425 pmb:2136 smb:1039 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:18.36 aq:12.30 tex:51099 mv:15156 misc:3097 imb:37 pmb:1410 smb:2153 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:18.36 aq:12.97 tex:5188 mv:2701 misc:2695 imb:11 pmb:738 smb:2851 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:18.35 aq:14.40 tex:16452 mv:10338 misc:2962 imb:25 pmb:1069 smb:2506 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:18.13 aq:8.04 tex:259292 mv:19440 misc:2596 imb:344 pmb:2103 smb:1153 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:18.23 aq:14.30 tex:16008 mv:10270 misc:2866 imb:15 pmb:1070 smb:2515 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:17.92 aq:7.82 tex:306695 mv:23067 misc:2566 imb:449 pmb:2187 smb:964 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:18.03 aq:12.67 tex:37283 mv:14667 misc:3186 imb:40 pmb:1409 smb:2151 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:18.08 aq:12.70 tex:3958 mv:2775 misc:2731 imb:4 pmb:762 smb:2834 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:17.97 aq:14.65 tex:19743 mv:10870 misc:2875 imb:17 pmb:1108 smb:2475 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:17.93 aq:8.21 tex:291971 mv:23123 misc:2610 imb:428 pmb:2171 smb:1001 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:17.93 aq:12.27 tex:54931 mv:15965 misc:3104 imb:32 pmb:1546 smb:2022 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:17.93 aq:12.04 tex:5567 mv:2984 misc:2809 imb:18 pmb:775 smb:2807 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:17.93 aq:15.33 tex:21151 mv:10959 misc:2890 imb:12 pmb:1093 smb:2495 d:- ref:0 ;
in:116 out:115 type:P dur:2 cpbdur:2 q:17.84 aq:7.99 tex:287964 mv:20770 misc:2610 imb:357 pmb:2188 smb:1055 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:17.89 aq:13.69 tex:23250 mv:10995 misc:3179 imb:23 pmb:1201 smb:2376 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:17.62 aq:7.84 tex:314750 mv:23999 misc:2427 imb:477 pmb:2265 smb:858 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:17.73 aq:12.30 tex:47893 mv:16546 misc:3393 imb:32 pmb:1683 smb:1885 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:17.79 aq:13.56 tex:4391 mv:2708 misc:2605 imb:7 pmb:724 smb:2869 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:17.68 aq:13.42 tex:25970 mv:12068 misc:3114 imb:21 pmb:1272 smb:2307 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:17.67 aq:8.37 tex:302465 mv:23658 misc:2485 imb:448 pmb:2234 smb:918 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:17.65 aq:11.66 tex:75816 mv:17468 misc:3068 imb:39 pmb:1650 smb:1911 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:17.63 aq:13.23 tex:6961 mv:3267 misc:2996 imb:5 pmb:899 smb:2696 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:17.66 aq:14.32 tex:24954 mv:10814 misc:2984 imb:18 pmb:1175 smb:2407 d:- ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:17.54 aq:7.90 tex:336214 mv:21022 misc:2332 imb:394 pmb:2292 smb:914 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:17.61 aq:13.27 tex:28142 mv:12393 misc:3265 imb:27 pmb:1366 smb:2207 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:17.43 aq:7.93 tex:412044 mv:24663 misc:2229 imb:538 pmb:2355 smb:707 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:17.49 aq:12.06 tex:92569 mv:21030 misc:2985 imb:56 pmb:2243 smb:1301 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:17.51 aq:13.01 tex:6114 mv:3741 misc:2833 imb:8 pmb:846 smb:2746 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:17.46 aq:13.48 tex:45784 mv:15882 misc:3142 imb:42 pmb:1859 smb:1699 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:17.64 aq:8.34 tex:394481 mv:24102 misc:2241 imb:538 pmb:2330 smb:732 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:17.54 aq:11.61 tex:111024 mv:19642 misc:2918 imb:36 pmb:2147 smb:1417 d:- ref:0 ;
