#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.04 aq:20.77 tex:2037126 mv:80618 misc:6016 imb:3600 pmb:0 smb:0 d:- ref:;
in:55 out:56 type:b dur:2 cpbdur:2 q:32.12 aq:31.17 tex:53011 mv:15791 misc:3454 imb:1052 pmb:1128 smb:1420 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:32.00 aq:30.74 tex:202499 mv:23064 misc:533 imb:3152 pmb:402 smb:46 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:32.01 aq:31.32 tex:124512 mv:21505 misc:2815 imb:1536 pmb:1165 smb:899 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:32.02 aq:31.16 tex:56268 mv:16532 misc:3352 imb:1189 pmb:1002 smb:1409 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:32.01 aq:31.22 tex:72366 mv:13329 misc:3385 imb:809 pmb:1309 smb:1482 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:31.86 aq:30.93 tex:225353 mv:23080 misc:663 imb:3012 pmb:519 smb:69 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:31.93 aq:31.11 tex:130867 mv:20938 misc:2763 imb:1339 pmb:1421 smb:840 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:31.97 aq:31.35 tex:76880 mv:13622 misc:3346 imb:795 pmb:1332 smb:1473 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:31.89 aq:31.12 tex:103577 mv:14865 misc:3078 imb:882 pmb:1469 smb:1249 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:31.83 aq:31.24 tex:306453 mv:22467 misc:736 imb:2904 pmb:612 smb:84 d:- ref:0 ;
